year,area,age,f
1971,3,36,0.016534319
1971,3,37,0.016448087
1971,3,38,0.016448087
1971,3,39,0.016448087
1971,3,40,0.016448087
1972,3,1,0.00260227056
1972,3,2,0.0146403374
1972,3,3,0.140051116
1972,3,4,0.130009038
1972,3,5,0.015398233
1972,3,6,0.014107215
1972,3,7,0.024609017
1972,3,8,0.033711012
1972,3,9,0.042780713
1972,3,10,0.056685387
1972,3,11,0.08105401
1972,3,12,0.11608052
1972,3,13,0.15706697
1972,3,14,0.19480918
1972,3,15,0.21890272
1972,3,16,0.22289288
1972,3,17,0.20728239
1972,3,18,0.18049005
1972,3,19,0.15199291
1972,3,20,0.12653565
1972,3,21,0.10560409
1972,3,22,0.08909865
1972,3,23,0.07634478
1972,3,24,0.066572852
1972,3,25,0.059101446
1972,3,26,0.053383734
1972,3,27,0.048999797
1972,3,28,0.045633378
1972,3,29,0.0430478
1972,3,30,0.041065628
1972,3,31,0.039553072
1972,3,32,0.038408328
1972,3,33,0.037553156
1972,3,34,0.036926821
1972,3,35,0.036481685
1972,3,36,0.036180014
1972,3,37,0.035991743
1972,3,38,0.035991743
1972,3,39,0.035991743
1972,3,40,0.035991743
1973,3,1,0.00134989817
1973,3,2,0.0076114512
1973,3,3,0.070317897
1973,3,4,0.065309277
1973,3,5,0.0095940179
1973,3,6,0.008836803
1973,3,7,0.014240287
1973,3,8,0.018934838
1973,3,9,0.023477159
1973,3,10,0.030319398
1973,3,11,0.042160964
1973,3,12,0.05880231
1973,3,13,0.07774838
1973,3,14,0.09461649
1973,3,15,0.10473407
1973,3,16,0.10541587
1973,3,17,0.09717448
