year,area,stage,f
2015,1,juvenile,0.0949899394623132
2016,1,juvenile,0.0967623227756217
2017,1,juvenile,0.100137095813935
2018,1,juvenile,0.0911950501907827
2019,1,juvenile,0.0814513330668039
2020,1,juvenile,0.0911258468151737
2021,1,juvenile,0.105391317431195
2022,1,juvenile,0.104551993903603
2023,1,juvenile,0.289492558191934
2024,1,juvenile,0.264357053135713
1952,2,juvenile,0.00482286561569828
1953,2,juvenile,0.00462111944498467
1954,2,juvenile,0.00328680131877281
1955,2,juvenile,0.00286943111840788
1956,2,juvenile,0.00231055971338004
1957,2,juvenile,0.00269170565738057
1958,2,juvenile,0.00663472172080593
1959,2,juvenile,0.00874232888173286
1960,2,juvenile,0.00694585553849297
1961,2,juvenile,0.0108131601422821
1962,2,juvenile,0.0133702020890048
1963,2,juvenile,0.012984560694176
1964,2,juvenile,0.009867269370409
1965,2,juvenile,0.0124465913778565
1966,2,juvenile,0.0151413300869723
1967,2,juvenile,0.0182590774190233
1968,2,juvenile,0.0230879450374134
1969,2,juvenile,0.0234248315574097
1970,2,juvenile,0.100828151497675
1971,2,juvenile,0.0869322276789204
1972,2,juvenile,0.102522530992996
1973,2,juvenile,0.155631755961772
1974,2,juvenile,0.199472156621125
1975,2,juvenile,0.179203261854179
1976,2,juvenile,0.172070362573882
1977,2,juvenile,0.220758469945751
1978,2,juvenile,0.211914720457052
1979,2,juvenile,0.319548805483189
1980,2,juvenile,0.30560198966175
1981,2,juvenile,0.409094636927547
1982,2,juvenile,0.264085159123407
1983,2,juvenile,0.341757234153579
1984,2,juvenile,0.429353554315191
1985,2,juvenile,0.495973950837299
1986,2,juvenile,0.167194133973043
1987,2,juvenile,0.233336001831825
1988,2,juvenile,0.213171069061046
1989,2,juvenile,0.260267719466036
1990,2,juvenile,0.29846147751169
1991,2,juvenile,0.428174206980824
1992,2,juvenile,0.356476230549853
1993,2,juvenile,0.259823553253444
1994,2,juvenile,0.41787445561209
1995,2,juvenile,0.685087072572552
1996,2,juvenile,0.538720724312691
1997,2,juvenile,0.414164681549387
1998,2,juvenile,0.580473227868635
1999,2,juvenile,0.534790546465297
2000,2,juvenile,0.829888185228599
2001,2,juvenile,0.618425927931557
2002,2,juvenile,0.49652461975549
2003,2,juvenile,0.622663709542055
2004,2,juvenile,0.697330825734743
2005,2,juvenile,0.738139015442808
2006,2,juvenile,0.620077513839343
2007,2,juvenile,0.773298979736806
2008,2,juvenile,0.942941890000906
2009,2,juvenile,0.658916070028926
2010,2,juvenile,0.764108257818909
2011,2,juvenile,0.595690128940597
2012,2,juvenile,0.840554590523109
2013,2,juvenile,0.781573778869676
2014,2,juvenile,0.911824864134601
2015,2,juvenile,0.835796666090439
2016,2,juvenile,1.27939635472468
2017,2,juvenile,0.562137502443664
2018,2,juvenile,0.769565615018373
2019,2,juvenile,1.27668946520804
2020,2,juvenile,1.24761055222599
2021,2,juvenile,0.827198414651213
2022,2,juvenile,0.768796838984648
2023,2,juvenile,1.02825693784669
2024,2,juvenile,1.63461644660415
1952,3,juvenile,0.00821796368612144
1953,3,juvenile,0.0162368026782563
1954,3,juvenile,0.00460799539696464
1955,3,juvenile,0.00907622530663544
1956,3,juvenile,0.00971086225513361
1957,3,juvenile,0.0267188278799159
1958,3,juvenile,0.0237306215178842
1959,3,juvenile,0.0211259339016337
1960,3,juvenile,0.0207873826519343
1961,3,juvenile,0.0277146515083612
1962,3,juvenile,0.0214247584438916
1963,3,juvenile,0.0280378299574444
1964,3,juvenile,0.0178985695549544
1965,3,juvenile,0.0273265238502497
1966,3,juvenile,0.0285736757068634
1967,3,juvenile,0.0206377940045177
1968,3,juvenile,0.0219998493249291
1969,3,juvenile,0.0289865781125463
1970,3,juvenile,0.0155751528796866
1971,3,juvenile,0.0224869406638748
1972,3,juvenile,0.0702054806695204
1973,3,juvenile,0.0354109200536116
1974,3,juvenile,0.0465723859443624
1975,3,juvenile,0.0505540025295937
1976,3,juvenile,0.0626275606652092
1977,3,juvenile,0.0848780425125097
1978,3,juvenile,0.0637668037794578
1979,3,juvenile,0.0799212561874346
1980,3,juvenile,0.105046146223973
1981,3,juvenile,0.144904924894287
1982,3,juvenile,0.225820221699184
1983,3,juvenile,0.262077366428519
1984,3,juvenile,0.308573322973887
1985,3,juvenile,0.207830352746269
1986,3,juvenile,0.315172819939582
1987,3,juvenile,0.437559636466166
1988,3,juvenile,0.275880421310512
1989,3,juvenile,0.348099589426037
1990,3,juvenile,0.581917094913927
1991,3,juvenile,0.576616803580212
1992,3,juvenile,0.730632406206534
1993,3,juvenile,0.625519852039391
1994,3,juvenile,0.752979229882644
1995,3,juvenile,0.498557330773343
1996,3,juvenile,0.385453519623691
1997,3,juvenile,0.546438480009701
1998,3,juvenile,0.804083483124515
1999,3,juvenile,1.42941221478145
2000,3,juvenile,0.636402664686021
2001,3,juvenile,0.445754296580057
2002,3,juvenile,0.833884045232818
2003,3,juvenile,0.84560296955045
2004,3,juvenile,1.53993119685691
2005,3,juvenile,1.23160616555637
2006,3,juvenile,1.32785804534361
2007,3,juvenile,1.40888889282161
2008,3,juvenile,0.717142929562807
2009,3,juvenile,0.741431053750088
2010,3,juvenile,0.582512160923517
2011,3,juvenile,1.21058927812485
2012,3,juvenile,0.798199260225054
2013,3,juvenile,0.679131539334726
2014,3,juvenile,0.614851606975428
2015,3,juvenile,0.533528632622721
2016,3,juvenile,0.657339460853743
2017,3,juvenile,0.662679591603649
2018,3,juvenile,0.607306180259921
2019,3,juvenile,0.446656384521205
2020,3,juvenile,0.725165090494007
2021,3,juvenile,1.33584853364794
2022,3,juvenile,0.87046349788551
2023,3,juvenile,0.507085050281926
2024,3,juvenile,0.524988162534796
1952,4,juvenile,0.00629770685452311
1953,4,juvenile,0.0036521422332871
1954,4,juvenile,0.00157702048922466
1955,4,juvenile,0.00394560457198672
1956,4,juvenile,0.00664643527798957
1957,4,juvenile,0.00587516077045849
1958,4,juvenile,0.0147675649614242
1959,4,juvenile,0.00779387248130249
1960,4,juvenile,0.0124858622798023
1961,4,juvenile,0.0252585541024478
1962,4,juvenile,0.0169928768812232
1963,4,juvenile,0.0261277156734578
1964,4,juvenile,0.0249299474685862
1965,4,juvenile,0.0183048746737975
1966,4,juvenile,0.014465670747773
1967,4,juvenile,0.0158640072271426
1968,4,juvenile,0.012177367835732
1969,4,juvenile,0.017891083390459
1970,4,juvenile,0.0134847209901572
1971,4,juvenile,0.0168770302411537
1972,4,juvenile,0.0222178874526492
1973,4,juvenile,0.0131943596689495
1974,4,juvenile,0.0135433018080493
1975,4,juvenile,0.0397181489543295
1976,4,juvenile,0.0425837670684484
1977,4,juvenile,0.0457006573912199
1978,4,juvenile,0.0239069594915903
1979,4,juvenile,0.0486583670742312
1980,4,juvenile,0.0473681249812254
1981,4,juvenile,0.0232166502600477
1982,4,juvenile,0.0517045738068045
1983,4,juvenile,0.0446755208604813
1984,4,juvenile,0.0514776347557141
1985,4,juvenile,0.0628283432465767
1986,4,juvenile,0.0295872108485982
1987,4,juvenile,0.0816316480077619
1988,4,juvenile,0.0387108779333265
1989,4,juvenile,0.0343170864706918
1990,4,juvenile,0.0553957644917783
1991,4,juvenile,0.0262467940064745
1992,4,juvenile,0.075411647549095
1993,4,juvenile,0.0560732802339113
1994,4,juvenile,0.103228896551498
1995,4,juvenile,0.056352526795757
1996,4,juvenile,0.0463891314434327
1997,4,juvenile,0.108514660768281
1998,4,juvenile,0.113682117038582
1999,4,juvenile,0.112950649432463
2000,4,juvenile,0.256503714270542
2001,4,juvenile,0.0872869802177199
2002,4,juvenile,0.179313472324919
2003,4,juvenile,0.0954707404969699
2004,4,juvenile,0.30120538952098
2005,4,juvenile,0.162632804863865
2006,4,juvenile,0.171040404619925
2007,4,juvenile,0.206093694907659
2008,4,juvenile,0.461513732221133
2009,4,juvenile,0.43470305442195
2010,4,juvenile,0.297704710548066
2011,4,juvenile,0.300110647656058
2012,4,juvenile,0.356430820010291
2013,4,juvenile,0.385911055280401
2014,4,juvenile,0.407260140228568
2015,4,juvenile,0.38364316532658
2016,4,juvenile,0.229894120359858
2017,4,juvenile,0.372590996039055
2018,4,juvenile,0.619774616193233
2019,4,juvenile,0.367199945940767
2020,4,juvenile,0.363134632005346
2021,4,juvenile,0.319664034839884
2022,4,juvenile,0.549268598700321
2023,4,juvenile,0.763495757466702
2024,4,juvenile,0.454794587792097
1952,5,juvenile,4.70271119157535e-05
1953,5,juvenile,0.000404456011021166
1954,5,juvenile,0.00336187985172877
1955,5,juvenile,0.00275814975976836
1956,5,juvenile,0.00353612784361096
1957,5,juvenile,0.00230365473605979
1958,5,juvenile,0.00351085469911499
1959,5,juvenile,0.00420484907605529
1960,5,juvenile,0.00381792307370141
1961,5,juvenile,0.00480240286373748
1962,5,juvenile,0.00569146185655975
1963,5,juvenile,0.00696223395447061
1964,5,juvenile,0.00501864302543082
1965,5,juvenile,0.00807387757165221
1966,5,juvenile,0.012389500624183
1967,5,juvenile,0.00881092738893555
1968,5,juvenile,0.00687899355735175
1969,5,juvenile,0.00843031109252603
1970,5,juvenile,0.0104705881144317
1971,5,juvenile,0.009639555314433
1972,5,juvenile,0.00748422710023897
1973,5,juvenile,0.0148664219107232
1974,5,juvenile,0.00929094281383039
1975,5,juvenile,0.00509278837818419
1976,5,juvenile,0.0102851260511523
1977,5,juvenile,0.00744537588628194
1978,5,juvenile,0.00824097049088697
1979,5,juvenile,0.0118574286328042
1980,5,juvenile,0.0133197696217096
1981,5,juvenile,0.0137820211358519
1982,5,juvenile,0.0096923815800333
1983,5,juvenile,0.00903109828482308
1984,5,juvenile,0.00734113810782014
1985,5,juvenile,0.00820826703061334
1986,5,juvenile,0.00760098081483277
1987,5,juvenile,0.00530551934897769
1988,5,juvenile,0.00793411409470862
1989,5,juvenile,0.00530112053198735
1990,5,juvenile,0.00706991824317456
1991,5,juvenile,0.00530520369348044
