year,season,fishery,area,catch
1975,1,30,2,1.95071e-06
1976,1,30,2,1.80411e-06
1977,1,30,2,1.7291e-06
1978,1,30,2,1.78297e-06
1979,1,30,2,1.88768e-06
1980,1,30,2,1.6156e-06
1981,1,30,2,1.43638e-06
1982,1,30,2,1.15321e-06
1983,1,30,2,1.22187e-06
1984,1,30,2,1.4104e-06
1985,1,30,2,1.56787e-06
1986,1,30,2,1.52871e-06
1987,1,30,2,1.77408e-06
1988,1,30,2,1.95137e-06
1989,1,30,2,2.59547e-06
1990,1,30,2,2.49266e-06
1991,1,30,2,2.52018e-06
1992,1,30,2,2.30555e-06
